account_number,open_date,close_date,title,forename,middle_name,surname,address1,city,postcode,home_tel,mobile_tel,email,account_type,overdraft_limit,cash_card_number,account_number_min_ok,account_number_max_ok,open_date_min_ok,open_date_max_ok,close_date_min_ok,close_date_max_ok,address1_nonnull_ok,city_nonnull_ok,postcode_nonnull_ok,postcode_nodups_ok,home_tel_nonnull_ok,mobile_tel_nonnull_ok,mobile_tel_nodups_ok,email_max_length_ok,email_nodups_ok,account_type_min_length_ok,account_type_max_length_ok,account_type_nonnull_ok,account_type_values_ok,cash_card_number_nodups_ok,n_failures
10000191,2009-06-29,,Mr,Peter,David,Baker,5 Inchhill Crescent,Hatfield,EP4 1UM,0443 482 0043,0732 841 7328,peter60160@runbox.co.uk,current,19800,1202 8613 6740 0218,false,true,true,true,,,true,true,true,true,true,true,true,true,true,true,true,true,true,true,1
10000307,2018-08-20,,Miss,Isla,,Bell,196 Newbridge Rise,Leeds,KN39 9AF,0314 949 3278,0709 991 5163,isla.bell@yahoo.com,current,19600,1202 8663 4661 9271,false,true,true,true,,,true,true,true,true,true,true,true,true,true,true,true,true,true,true,1
10000335,2008-01-17,,Mrs,Alice,,Mason,809 Manchester ,Birmingham,GQ57 6AI,0838 661 1933,0727 123 8841,alice.mason225@gmail.co.uk,basic,19600,1202 8639 1014 5984,false,true,true,true,,,true,true,true,true,true,true,true,true,true,true,true,true,true,true,1
10000422,2011-06-20,,Ms,Jessica,,White,3 Lightmaker Yards,Ashby de la Zouch,NN9 4HT,0411 992 6253,0799 385 5911,jessica.white6435@yahoo.com,current,0,1202 8694 3547 9148,false,true,true,true,,,true,true,true,true,true,true,true,true,true,true,true,true,true,true,1
10000514,2005-02-28,,Ms,Maya,,Fraser,580 Foxhill Yards,Watford,QS8 5PV,0289 628 6820,0732 887 7508,khs1819vsiysx3c@googlemail.com,offset,0,1202 8631 1017 9492,false,true,true,true,,,true,true,true,true,true,true,true,true,true,true,true,true,true,true,1
10000600,2017-02-17,,Mr,Ethan,Henry,Corbyn,85 Oldbridge Yards,Watford,ZZ02 2JI,0847 071 7206,0778 669 5015,ethan.corbyn@googlemail.co.uk,offset,0,1202 8699 4553 3103,false,true,true,true,,,true,true,true,true,true,true,true,true,true,true,true,true,true,true,1
10005922,2008-06-04,,Mrs,Millie,Francesca,Millar,3 Railway Bridge,Leeds,FK2 8MU,0548 080 1011,0781 980 9781,millie54@gmail.co.uk,basic,0,1202 8650 5139 5703,true,true,true,true,,,true,true,true,false,true,true,true,true,true,true,true,true,true,true,1
10061598,2016-05-23,,Prof,Frederick,,Edwards,94 Viadict Close,Nottingham,SP0 7SR,0847 184 5656,0753 866 5880,frederick.edwards1468@googlemail.co.uk,basic,0,1202 8601 1780 6268,true,true,true,true,,,true,true,true,true,true,true,true,false,true,true,true,true,true,true,1
10132586,2006-05-03,,Mr,Lucas,Louis,Murray,9 Lightmaker Rise,Leeds,YS1 0QN,0755 165 1344,0755 712 5296,ylucas9@googlemail.com,basic,19500,1202 8641 8550 4335,true,true,true,true,,,true,true,true,true,true,true,true,true,false,true,true,true,true,true,1
10154383,2015-02-19,,Ms,Charlotte,,Williams,75 Quarry Rise,Slough,RA6 9EX,0356 903 9949,0722 493 5482,charlotte.williams132@googlemail.co.uk,current,0,1202 8670 9176 4219,true,true,true,true,,,true,true,true,true,true,true,true,false,true,true,true,true,true,true,1
10330249,2003-04-09,2003-06-12,Mrs,Sophie,Penelope,Baker,915 Foxhill Road,Kirkcaldy,ZS87 3ID,0889 696 0728,0731 593 3264,sophie30@googlemail.co.uk,offset,5300,1202 8693 9928 8725,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,1
10363188,2012-01-28,2016-03-26,Mr,Lucas,,Wilkinson,3 Gartonside Street,London,MU84 4MI,0934 066 0796,0777 554 9492,ylucas9@googlemail.com,current,3300,1202 8675 7266 0534,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,1
