account_number,open_date,close_date,title,forename,middle_name,surname,address1,city,postcode,home_tel,mobile_tel,email,account_type,overdraft_limit,cash_card_number,open_date_min_ok,close_date_min_ok,address1_nonnull_ok,city_nonnull_ok,postcode_nonnull_ok,home_tel_nonnull_ok,mobile_tel_nonnull_ok,mobile_tel_nodups_ok,account_type_max_length_ok,account_type_nonnull_ok,account_type_values_ok,account_type_rex_ok,cash_card_number_nodups_ok,cash_card_number_rex_ok,n_failures
10380218,2016-12-07,,Mr,Jacob,Jake,Jenkins,14 Viadict Bridge,Hull,MY8 2NZ,0713 941 6910,0721 342 1353,jacob.jenkins@googlemail.com,basic,16900,1202 8675 5314 8638,true,,true,true,true,true,true,false,true,true,true,true,true,true,1
10406258,2015-01-01,,Mrs,Maria,,Hall,315 Peopleshome Crescent,Ashby de la Zouch,BG24 4OD,0925 189 4812,0706 698 1323,maria.hall8@runbox.com,current,14300,1202 8678 1093 9985,true,,true,true,true,true,true,true,true,true,true,true,false,true,1
10429712,1970-01-01,,Mrs,Maria,Alice,Douglas,,,,,,ky0o3e3zxhj@yahoo.com,no longer valid,17500,1202 8668 5897 5122,false,,false,false,false,false,false,true,false,true,false,false,true,true,9
10500815,2002-12-15,,Ms,Molly,,Wilkinson,76 Castle Bridge,Leeds,DC2 5QK,0893 050 8984,0781 292 7327,molly.wilkinson07@runbox.co.uk,offset,17700,1202 8678 1093 9985,true,,true,true,true,true,true,true,true,true,true,true,false,true,1
11359330,2001-03-04,,Miss,Rose,Anna,Bennett,459 Manchester ,Southampton,AM5 1XJ,0455 310 8191,,rose.bennett8@runbox.com,current,1500,1202 8684 9153 6256,true,,true,true,true,true,false,true,true,true,true,true,true,true,1
11501781,2003-01-13,,Dr,Austin,Hugo,Carter,95 Trewberry Yards,Ipswich,WZ62 7XK,,0763 419 8234,rovfnoq5kz02@runbox.com,current,0,1202 8653 6807 9130,true,,true,true,true,false,true,true,true,true,true,true,true,true,1
11793707,1994-07-14,1990-03-09,Mr,Pierre,Edward,Allan,989 Oldbridge Road,London,DV76 8OP,0733 839 4021,0739 460 7274,a5x353qunfwy90@hotmail.com,no longer valid,0,1202 8670 6119 0791,false,false,true,true,true,true,true,true,false,true,false,false,true,true,5
11981710,2016-12-05,,Mr,Jacob,Ronnie,Cook,40 Railway Yards,,NA6 5AN,0418 910 2185,0770 992 7490,jacob37377@googlemail.co.uk,,4100,1202 8611 8371 2219,true,,true,false,true,true,true,true,,false,,,true,true,2
12142869,1982-07-25,1995-05-06,Miss,Emily,,Scott,7 Newbridge Yards,,HT9 1MA,0859 802 8429,0717 665 4967,ihv1y0xqe@runbox.co.uk,,6600,4003 6070 5668 5816,false,false,true,false,true,true,true,true,,false,,,true,false,5
12610713,2005-08-05,,Mrs,Iris,,Rogers,110 Gartonside Road,Watford,DF56 0BG,0112 458 4487,0776 697 6417,awnjafm8twko@yahoo.co.uk,no longer valid,0,1202 8667 3540 5304,true,,true,true,true,true,true,true,false,true,false,false,true,true,3
12643308,2004-02-22,,Mr,Mohammed,,Turnbull,9 Lightmaker Road,Leeds,WI14 5NW,0651 091 3144,0721 342 1353,mohammed9238@gmail.com,current,17200,1202 8640 9451 2695,true,,true,true,true,true,true,false,true,true,true,true,true,true,1
