account_number,open_date,close_date,title,forename,middle_name,surname,address1,city,postcode,home_tel,mobile_tel,email,account_type,overdraft_limit,cash_card_number
12094757,2010-03-07 00:00:00,,"Mrs","Clara","Ava","Walker","7 Inchhill Bridge","Inverness","YS5 5GV","0843 295 2714","0705 784 4779","ye4jxzzywz4i472j@runbox.co.uk","offset",0,"1202 8605 9840 2291"
12824955,2005-03-09 00:00:00,,"Mrs","Bonnie",,"Kay","6 Broad Street","Tewin","OI7 7QS","0505 300 4446","0705 426 8196","bonnie753@yahoo.co.uk","current",800,"1202 8620 1506 4579"
12736845,2011-11-28 00:00:00,,"Mr","Charles","Ronnie","Chapman","2 Kettleyards Crescent","Inverness","HM7 6TT","0140 939 8078","0775 815 3161","x2yh@hotmail.co.uk","current",9600,"1202 8663 1022 4459"
12978556,2006-12-15 00:00:00,,"Mr","Mohammed","Charles","Young","11 Manchester Close","Tewin","TV3 8AV","0247 120 7888","0779 914 4439","mohammed.young59@gmail.com","current",2400,"1202 8662 2487 3776"
11783426,2008-11-02 00:00:00,,"Mr","Ryan",,"Reid","92 Kettleyards Street","Hull","GN2 3XT","0850 610 9741","0743 555 1523","ryan1@googlemail.co.uk","current+",2000,"1202 8612 4044 5859"
10306278,2016-03-15 00:00:00,,"Ms","Lyla",,"Jackson","92 Jewelmaker's Crescent","Watford","CT1 1IG","0601 572 4938","0753 164 3648","lyla30@hotmail.com","current",10400,"1202 8677 5335 4488"
10099638,2014-11-09 00:00:00,,"Miss","Nancy","Sienna","Clarke","7 Hereford ","Hull","MK9 8JG","0884 134 8768","0745 190 5358","nancy.clarke6884@runbox.co.uk","current",0,"1202 8659 5033 8345"
12067823,2002-11-02 00:00:00,2018-10-11 00:00:00,"Miss","Jessica",,"Palmer","8 Downwater Close","Hatfield","LI45 3ID","0656 559 5460","0794 211 1635","jessica.palmer@gmail.com","current",6900,"1202 8636 9333 2534"
11401145,2009-12-20 00:00:00,,"Mr","Arlo",,"Fraser","11 Gartonside Road","Falkirk","RU66 9BI","0569 168 3516","0781 950 3390","arlo.fraser3@runbox.co.uk","current+",0,"1202 8670 0078 4203"
11948703,2007-06-01 00:00:00,,"Mr","Victor",,"James","3 Foxhill Crescent","Inverness","AQ74 8CG","0864 390 9897","0775 119 1215","jxklxlpcw@hotmail.co.uk","current",15600,"1202 8624 7860 9489"
10156515,2011-08-28 00:00:00,2016-03-29 00:00:00,"Mrs","Elsie",,"Watt","86 Oldbridge Crescent","Lancaster","WH4 2KA","0688 669 8749","0709 616 4494","elsie54@gmail.com","current",0,"1202 8666 3520 9593"
10848668,2003-09-09 00:00:00,2017-03-05 00:00:00,"Mr","Paul","Liam","Davis","7 Foxhill Street","Brighton","ZK7 3SI","0353 500 9086","0752 602 6491","paul.davis36@yahoo.co.uk","basic",0,"1202 8606 3898 1124"
11687931,2015-12-19 00:00:00,,"Mrs","Robyn","Hannah","Douglas","79 Downwater Rise","Leeds","RW27 1BP","0928 802 0169","0714 301 0006","n1921pyn@runbox.com","current",0,"1202 8659 0077 6660"
10446129,2014-01-26 00:00:00,,"Miss","Lottie",,"Gray","57 Railway Bridge","Tewin","KS53 1JW","0161 718 2281","0723 923 3884","lottie.gray5125@hotmail.com","current",12800,"1202 8634 3696 7944"
11521624,2006-01-21 00:00:00,,"Mrs","Bonnie",,"Clarke","317 Acacia Bridge","Nottingham","HR13 9VS","0596 251 2050","0774 824 4470","v6v62zo@googlemail.co.uk","offset",18200,"1202 8614 0752 4497"
11740257,2005-10-17 00:00:00,2010-02-26 00:00:00,"Mr","Nathan","Charlie","Reid","76 Lightmaker Yards","Falkirk","CL65 4KQ","0756 820 4314","0768 854 8716","nathan7539@googlemail.co.uk","current+",0,"1202 8616 5320 7863"
10166275,2017-09-24 00:00:00,,"Miss","Isla",,"Duncan","332 Broad Road","Inverness","VP5 0VV","0391 858 6851","0776 381 2554","isla.duncan0@googlemail.com","current",9500,"1202 8693 3300 2705"
