account_number|open_date|close_date|title|forename|middle_name|surname|address1|city|postcode|home_tel|mobile_tel|email|account_type|overdraft_limit|cash_card_number|is_open
12067823|2002-11-02T00:00:00|2018-10-11T00:00:00|Miss|Jessica|NULL|Palmer|24 Melbury Road|Cheadle Hulme|SK8 9EU|0656 559 5460|0794 211 1635|jessica.palmer@gmail.com|current|6900|1202 8636 9333 2534|False
10156515|2011-08-28T00:00:00|2016-03-29T00:00:00|Mrs|Elsie|NULL|Watt|11 Southwell Road|Wisbech|PE13 9AP|0688 669 8749|0709 616 4494|elsie54@gmail.com|current|0|1202 8666 3520 9593|False
10848668|2003-09-09T00:00:00|2017-03-05T00:00:00|Mr|Paul|Liam|Davis|29 Knight's Place|Twickenham|TW2 2VB|0353 500 9086|0752 602 6491|paul.davis36@yahoo.co.uk|basic|0|1202 8606 3898 1124|False
11740257|2005-10-17T00:00:00|2010-02-26T00:00:00|Mr|Nathan|Charlie|Reid|21 Buttercup Square|Oxford|OX4 6SV|0756 820 4314|0768 854 8716|nathan7539@googlemail.co.uk|current+|0|1202 8616 5320 7863|False
12693708|2002-12-27T00:00:00|2004-03-01T00:00:00|Mr|Ellis|Frederick|Carter|15 Gatton Park Lane|Brighton|BN1 1HD|0207 044 2441|0755 218 9342|ellis4889@hotmail.com|offset|13100|1202 8621 1116 5755|False
11347063|2008-03-03T00:00:00|2013-12-04T00:00:00|Mr|Elijah|NULL|Fisher|2 Brenfield Drive|Hinckley|LE10 8WQ|0279 981 6621|0784 923 3673|okv7k6mn08xwxgn@googlemail.co.uk|current|0|1202 8621 0840 0523|False
12094757|2010-03-07T00:00:00|NULL|Mrs|Clara|Ava|Walker|5 Ditton Reach|Thames Ditton|KT7 0ZT|0843 295 2714|0705 784 4779|ye4jxzzywz4i472j@runbox.co.uk|offset|0|1202 8605 9840 2291|True
12824955|2005-03-09T00:00:00|NULL|Mrs|Bonnie|NULL|Kay|28 Little Woodbury Drive|Derby|DE23 8TH|0505 300 4446|0705 426 8196|bonnie753@yahoo.co.uk|current|800|1202 8620 1506 4579|True
12736845|2011-11-28T00:00:00|NULL|Mr|Charles|Ronnie|Chapman|61 Kingsley Close|Thornton|FY5 3RT|0140 939 8078|0775 815 3161|x2yh@hotmail.co.uk|current|9600|1202 8663 1022 4459|True
12978556|2006-12-15T00:00:00|NULL|Mr|Mohammed|Charles|Young|26 Larkfield Park|Chepstow / Cas-Gwent|NP16 2DX|0247 120 7888|0779 914 4439|mohammed.young59@gmail.com|current|2400|1202 8662 2487 3776|True
